symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-07,503.28,519.85,501.38,512.19,18586400
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-06,497.63,502.97,494.29,496.09,11757900
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-05,495.0,495.58,487.89,490.22,15325300
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-04,503.0,504.42,496.42,498.19,12324100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-01,492.11,504.25,491.85,502.3,16273600
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-29,488.44,491.7,482.61,490.13,17732000
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-28,485.0,491.05,482.75,484.02,12715500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-27,479.98,487.27,479.92,487.05,10809600
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-26,483.47,486.14,480.6,481.74,12101400
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-23,488.05,494.36,482.35,484.03,18374300
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-22,480.24,489.99,476.06,486.13,21625800
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-21,466.5,469.0,461.79,468.03,12977100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-20,469.72,476.18,466.56,471.75,18015500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-16,478.11,478.96,469.21,473.32,23306500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-15,475.28,488.62,472.22,484.03,24212300
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-14,467.93,474.11,466.09,473.28,16858400
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-13,456.87,467.89,455.09,460.12,20916600
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-12,468.19,479.15,466.58,468.9,19382000
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-09,472.95,473.59,467.47,468.11,18413100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-08,468.32,470.59,465.03,470.0,18815100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-07,458.0,471.52,456.18,469.59,23066000
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-06,464.0,467.12,453.0,454.72,21655200
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-05,469.88,471.9,459.22,459.41,40832400
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-02,459.6,485.96,453.01,474.99,84615500
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-01,393.94,400.5,393.05,394.78,29727100
META,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-31,389.0,398.0,387.1,390.14,20180800
